millis,stamp,datetime,soilmoisture
5021999, 1565961060, 2019/8/16 13:11:0, 625
5052999, 1565961060, 2019/8/16 13:11:0, 626
5084000, 1565961060, 2019/8/16 13:11:0, 626
5114999, 1565961060, 2019/8/16 13:11:0, 626
5145999, 1565961060, 2019/8/16 13:11:0, 626
5176998, 1565961060, 2019/8/16 13:11:0, 626
5207999, 1565961060, 2019/8/16 13:11:0, 626
5239000, 1565961060, 2019/8/16 13:11:0, 626
5269999, 1565961060, 2019/8/16 13:11:0, 626
5300999, 1565961060, 2019/8/16 13:11:0, 626
5331999, 1565961060, 2019/8/16 13:11:0, 626
5362999, 1565961060, 2019/8/16 13:11:0, 626
5393998, 1565961060, 2019/8/16 13:11:0, 626
5424999, 1565961060, 2019/8/16 13:11:0, 626
5455998, 1565961060, 2019/8/16 13:11:0, 626
5487000, 1565961060, 2019/8/16 13:11:0, 626
5518000, 1565961060, 2019/8/16 13:11:0, 626
5548998, 1565961060, 2019/8/16 13:11:0, 627
5579999, 1565961060, 2019/8/16 13:11:0, 627
5610998, 1565961060, 2019/8/16 13:11:0, 626
5642000, 1565961060, 2019/8/16 13:11:0, 627
5672999, 1565961060, 2019/8/16 13:11:0, 626
5703999, 1565961060, 2019/8/16 13:11:0, 626
5734999, 1565961060, 2019/8/16 13:11:0, 626
5766000, 1565961060, 2019/8/16 13:11:0, 626
5797000, 1565961060, 2019/8/16 13:11:0, 627
5827998, 1565961060, 2019/8/16 13:11:0, 627
5858999, 1565961060, 2019/8/16 13:11:0, 627
5889998, 1565961060, 2019/8/16 13:11:0, 627
5921000, 1565961060, 2019/8/16 13:11:0, 627
5952000, 1565961060, 2019/8/16 13:11:0, 627
5983000, 1565961060, 2019/8/16 13:11:0, 627
6013999, 1565961060, 2019/8/16 13:11:0, 627
6044999, 1565961060, 2019/8/16 13:11:0, 628
6076000, 1565961060, 2019/8/16 13:11:0, 627
6106998, 1565961060, 2019/8/16 13:11:0, 627
6137999, 1565961060, 2019/8/16 13:11:0, 627
6168998, 1565961060, 2019/8/16 13:11:0, 627
6199999, 1565961060, 2019/8/16 13:11:0, 628
6231000, 1565961060, 2019/8/16 13:11:0, 628
6262000, 1565961060, 2019/8/16 13:11:0, 628
6292999, 1565961060, 2019/8/16 13:11:0, 628
6323998, 1565961060, 2019/8/16 13:11:0, 628
6354999, 1565961060, 2019/8/16 13:11:0, 627
6385999, 1565961060, 2019/8/16 13:11:0, 628
6416999, 1565961060, 2019/8/16 13:11:0, 628
6447998, 1565961060, 2019/8/16 13:11:0, 628
6478999, 1565961060, 2019/8/16 13:11:0, 628
6509999, 1565961060, 2019/8/16 13:11:0, 628
6540999, 1565961060, 2019/8/16 13:11:0, 628
6572000, 1565961060, 2019/8/16 13:11:0, 628
6602998, 1565961060, 2019/8/16 13:11:0, 628
6633999, 1565961060, 2019/8/16 13:11:0, 628
